Mese,Giorno Giovanna: (Giappone),ジョジョの奇妙な冒険 (Jojo bizarre adventures): (Giappone),ナポリ (Napoli): (Giappone),ジョルノ・ジョバァーナ (Giorno Giovanna): (Giappone)
2018-01,0,28,62,1
2018-02,0,28,69,1
2018-03,0,31,67,2
2018-04,0,29,66,1
2018-05,0,22,80,1
2018-06,0,31,66,1
2018-07,0.5,36,67,3
2018-08,0,30,66,2
2018-09,0,40,69,2
2018-10,0,82,63,7
2018-11,0,71,61,8
2018-12,0.5,68,85,2
2019-01,0.5,82,70,3
2019-02,0,98,72,8
2019-03,0,91,85,14
2019-04,0.5,60,73,3
2019-05,0.5,58,79,4
2019-06,0,69,81,4
2019-07,0.5,100,66,6
2019-08,0,38,69,3
2019-09,0.5,25,71,2
2019-10,0,24,65,4
2019-11,0.5,22,76,2
2019-12,0.5,21,77,1
2020-01,0,23,85,2
2020-02,0,26,85,4
2020-03,0,26,74,2
2020-04,0,28,71,3
2020-05,0.5,36,79,3
2020-06,0,32,74,5
2020-07,0,27,69,3
2020-08,0.5,27,72,2
2020-09,0,26,70,3
2020-10,0,27,72,2
2020-11,0,27,73,3
2020-12,0.5,29,80,3
2021-01,0,31,86,2
2021-02,0,30,90,3
2021-03,0,31,80,3
2021-04,0,32,81,3
2021-05,0,28,76,2
2021-06,0,27,65,2
2021-07,0.5,25,73,2
2021-08,0.5,28,68,2
2021-09,0,43,76,2
2021-10,0.5,36,63,3
2021-11,0,33,60,1
2021-12,0,48,71,2
2022-01,0.5,61,67,2
2022-02,0.5,36,67,2
2022-03,0,40,60,2
2022-04,0,37,59,3
2022-05,0,34,60,2
2022-06,0.5,35,55,2
2022-07,0.5,39,52,2
2022-08,0.5,40,59,2
2022-09,0,45,65,2
2022-10,0.5,33,68,2
2022-11,0,25,66,1
2022-12,0,43,63,2
2023-01,0,36,69,2
2023-02,0,28,75,2
2023-03,0.5,24,74,1
2023-04,0,24,80,2
2023-05,0,20,90,4
